,index,school_GP,school_MS,sex_F,sex_M,age,address_R,address_U,famsize_GT3,famsize_LE3,Pstatus_A,Pstatus_T,Medu,Fedu,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,org_passed
10,9,1,0,0,1,15,0,1,1,0,0,1,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,yes
11,209,1,0,1,0,17,1,0,1,0,0,1,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,3,0,0,1,1,1,1,1,1,1,4,4,2,1,1,4,6,no
12,323,1,0,1,0,17,0,1,1,0,0,1,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,3,0,0,1,0,0,0,1,1,0,3,4,3,2,3,5,1,yes
13,393,0,1,0,1,18,1,0,0,1,0,1,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,1,0,4,4,1,3,4,5,0,yes
14,258,1,0,0,1,18,0,1,1,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,1,1,1,0,5,2,4,1,2,4,8,yes
15,155,1,0,0,1,15,1,0,1,0,0,1,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,no
16,124,1,0,1,0,16,0,1,1,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,no
17,272,1,0,1,0,18,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,0,1,1,0,0,1,0,0,4,4,3,1,1,3,2,yes
18,324,1,0,1,0,17,0,1,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,1,1,1,0,3,3,3,2,3,2,0,yes
19,334,1,0,1,0,18,1,0,1,0,0,1,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,4,0,0,0,0,1,1,1,0,0,4,4,4,1,1,4,0,no
20,15,1,0,1,0,16,0,1,1,0,0,1,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,yes
21,391,0,1,0,1,17,0,1,0,1,0,1,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0,2,4,5,3,4,2,3,yes
22,167,1,0,1,0,16,0,1,1,0,0,1,4,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0,yes
23,0,1,0,1,0,18,0,1,1,0,1,0,4,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,no
24,140,1,0,0,1,15,0,1,1,0,0,1,4,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,0,no
25,113,1,0,0,1,15,0,1,0,1,0,1,4,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,yes
26,77,1,0,1,0,16,0,1,1,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,yes
27,33,1,0,0,1,15,0,1,0,1,0,1,3,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,yes
28,101,1,0,0,1,16,0,1,1,0,0,1,4,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,yes
29,76,1,0,0,1,15,0,1,1,0,0,1,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,yes
30,307,1,0,0,1,19,0,1,1,0,0,1,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,1,1,0,1,1,0,1,1,1,1,4,3,4,1,1,4,38,no
31,375,0,1,1,0,18,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,3,0,0,0,0,0,1,1,1,0,4,3,2,1,2,4,2,yes
32,291,1,0,1,0,17,0,1,1,0,0,1,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,3,0,0,1,1,0,1,1,1,0,4,2,2,1,2,3,0,yes
33,356,0,1,1,0,17,1,0,1,0,0,1,4,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,2,0,0,1,1,1,1,1,1,0,4,3,3,1,2,5,4,yes
34,90,1,0,1,0,16,0,1,1,0,0,1,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,no
35,384,0,1,0,1,18,1,0,1,0,0,1,4,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,1,0,0,1,0,1,1,0,0,5,4,3,4,3,3,14,no
36,137,1,0,1,0,16,0,1,1,0,1,0,3,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0,no
37,57,1,0,0,1,15,0,1,1,0,0,1,4,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,yes
38,73,1,0,0,1,16,0,1,1,0,0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,yes
39,25,1,0,1,0,16,0,1,1,0,0,1,2,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,no
